option,SKU,SNSMU,SNSMU-NP,SNSMP,SNSMP-NP,SNSMR,SNSMR-NP,SNM3U,SNM3U-NP,SNM3P,SNM3P-NP,SNM3R,SNM3R-NP,SNM4U,SNM4U-NP,SNM4P,SNM4P-NP,SNM4R,SNM4R-NP,SNM5U,SNM5U-NP,SNM5P,SNM5P-NP,SNM5R,SNM5R-NP,EPSMR,EPSMR-NP,EPM4R,EPM4R-NP,SPSMR,SPSMR-NP,SPM4R,SPM4R-NP
3 m / 9.84 ft,003M,$31.66,$32.39,$13.80,$14.40,$10.67,$11.40,$19.30,$19.60,$15.30,$15.60,$10.50,$10.80,$20.20,$20.50,$16.20,$16.50,$11.95,$13.34,$26.50,$26.80,$22.50,$22.80,$17.70,$18.00,$11.87 ,$12.60 ,$13.15 ,$14.54 ,$11.47 ,$12.20 ,$12.75 ,$14.14 
3.05 m / 10 ft,010FT,$31.69,$32.43,$13.83,$14.44,$10.70,$11.44,$19.36,$19.66,$15.36,$15.66,$10.56,$10.86,$20.27,$20.58,$16.27,$16.58,$12.00,$13.41,$26.68,$26.98,$22.68,$22.98,$17.88,$18.18,$11.90 ,$12.64 ,$13.20 ,$14.61 ,$11.50 ,$12.24 ,$12.80 ,$14.21 
3.5 m / 11.48 ft,350CM,$31.96,$32.81,$14.10,$14.80,$10.97,$11.82,$19.85,$20.20,$15.85,$16.20,$11.05,$11.40,$20.90,$21.25,$16.90,$17.25,$12.46,$14.08,$28.25,$28.60,$24.25,$24.60,$19.45,$19.80,$12.17 ,$13.02 ,$13.66 ,$15.28 ,$11.77 ,$12.62 ,$13.26 ,$14.88 
3.65 m / 12 ft,012FT,$32.05,$32.93,$14.19,$14.92,$11.06,$11.95,$20.02,$20.38,$16.02,$16.38,$11.22,$11.58,$21.11,$21.48,$17.11,$17.48,$12.61,$14.30,$28.78,$29.14,$24.78,$25.14,$19.98,$20.34,$12.26 ,$13.15 ,$13.81 ,$15.50 ,$11.86 ,$12.75 ,$13.41 ,$15.10 
4 m / 13.12 ft,004M,$32.26,$33.23,$14.40,$15.20,$11.27,$12.24,$20.40,$20.80,$16.40,$16.80,$11.60,$12.00,$21.60,$22.00,$17.60,$18.00,$12.97,$14.82,$30.00,$30.40,$26.00,$26.40,$21.20,$21.60,$12.47 ,$13.44 ,$14.17 ,$16.02 ,$12.07 ,$13.04 ,$13.77 ,$15.62 
4.26 m / 14 ft,014FT,$32.41,$33.44,$14.56,$15.41,$11.43,$12.46,$20.69,$21.11,$16.69,$17.11,$11.89,$12.31,$21.96,$22.39,$17.96,$18.39,$13.24,$15.21,$30.91,$31.34,$26.91,$27.34,$22.11,$22.54,$12.63 ,$13.66 ,$14.44 ,$16.41 ,$12.23 ,$13.26 ,$14.04 ,$16.01 
4.57 m / 15 ft,015FT,$32.60,$33.70,$14.74,$15.66,$11.61,$12.72,$21.03,$21.48,$17.03,$17.48,$12.23,$12.68,$22.40,$22.86,$18.40,$18.86,$13.56,$15.67,$32.00,$32.45,$28.00,$28.45,$23.20,$23.65,$12.81 ,$13.92 ,$14.76 ,$16.87 ,$12.41 ,$13.52 ,$14.36 ,$16.47 
4.87 m / 16 ft,016FT,$32.78,$33.96,$14.92,$15.90,$11.79,$12.97,$21.36,$21.84,$17.36,$17.84,$12.56,$13.04,$22.82,$23.31,$18.82,$19.31,$13.86,$16.11,$33.05,$33.53,$29.05,$29.53,$24.25,$24.73,$12.99 ,$14.17 ,$15.06 ,$17.31 ,$12.59 ,$13.77 ,$14.66 ,$16.91 
5 m / 16.40 ft,005M,$32.86,$34.07,$15.00,$16.00,$11.87,$13.08,$21.50,$22.00,$17.50,$18.00,$12.70,$13.20,$23.00,$23.50,$19.00,$19.50,$14.00,$16.31,$33.50,$34.00,$29.50,$30.00,$24.70,$25.20,$13.07 ,$14.28 ,$15.20 ,$17.51 ,$12.67 ,$13.88 ,$14.80 ,$17.11 
5.48 m / 18 ft,018FT,$33.14,$34.47,$15.29,$16.38,$12.16,$13.48,$22.03,$22.58,$18.03,$18.58,$13.23,$13.78,$23.67,$24.22,$19.67,$20.22,$14.49,$17.02,$35.18,$35.73,$31.18,$31.73,$26.38,$26.93,$13.36 ,$14.68 ,$15.69 ,$18.22 ,$12.96 ,$14.28 ,$15.29 ,$17.82 
