option,SKU,SNSMU,SNSMU-NP,SNSMP,SNSMP-NP,SNSMR,SNSMR-NP,SNM3U,SNM3U-NP,SNM3P,SNM3P-NP,SNM3R,SNM3R-NP,SNM4U,SNM4U-NP,SNM4P,SNM4P-NP,SNM4R,SNM4R-NP,SNM5U,SNM5U-NP,SNM5P,SNM5P-NP,SNM5R,SNM5R-NP,EPSMR,EPSMR-NP,EPM4R,EPM4R-NP,SPSMR,SPSMR-NP,SPM4R,SPM4R-NP
67.05 m / 220 ft,220FT,$69.96,$86.19,$52.23,$65.64,$48.98,$65.20,$89.76,$96.46,$85.76,$92.46,$80.96,$87.66,$109.87,$116.58,$105.87,$112.58,$77.47,$108.45,$250.68,$257.38,$246.68,$253.38,$241.88,$248.58,$50.18 ,$66.40 ,$78.67 ,$109.65 ,$49.78 ,$66.00 ,$78.27 ,$109.25 
68.58 m / 225 ft,225FT,$70.88,$87.47,$53.15,$66.86,$49.89,$66.49,$91.44,$98.30,$87.44,$94.30,$82.64,$89.50,$112.01,$118.87,$108.01,$114.87,$79.04,$110.72,$256.03,$262.89,$252.03,$258.89,$247.23,$254.09,$51.09 ,$67.69 ,$80.24 ,$111.92 ,$50.69 ,$67.29 ,$79.84 ,$111.52 
70 m / 229.65 ft,070M,$71.73,$88.67,$54.00,$68.00,$50.74,$67.68,$93.00,$100.00,$89.00,$96.00,$84.20,$91.20,$114.00,$121.00,$110.00,$117.00,$80.49,$112.83,$261.00,$268.00,$257.00,$264.00,$252.20,$259.20,$51.94 ,$68.88 ,$81.69 ,$114.03 ,$51.54 ,$68.48 ,$81.29 ,$113.63 
73.15 m / 240 ft,240FT,$73.61,$91.31,$55.89,$70.52,$52.62,$70.33,$96.47,$103.78,$92.47,$99.78,$87.67,$94.98,$118.41,$125.73,$114.41,$121.73,$83.71,$117.51,$272.03,$279.34,$268.03,$275.34,$263.23,$270.54,$53.82 ,$71.53 ,$84.91 ,$118.71 ,$53.42 ,$71.13 ,$84.51 ,$118.31 
76.20 m /  250 ft,250FT,$75.43,$93.87,$57.72,$72.96,$54.45,$72.89,$99.82,$107.44,$95.82,$103.44,$91.02,$98.64,$122.68,$130.30,$118.68,$126.30,$86.83,$122.04,$282.70,$290.32,$278.70,$286.32,$273.90,$281.52,$55.65 ,$74.09 ,$88.03 ,$123.24 ,$55.25 ,$73.69 ,$87.63 ,$122.84 
79.24 m / 260 ft,260FT,$77.25,$96.43,$59.54,$75.39,$56.27,$75.44,$103.16,$111.09,$99.16,$107.09,$94.36,$102.29,$126.94,$134.86,$122.94,$130.86,$89.94,$126.55,$293.34,$301.26,$289.34,$297.26,$284.54,$292.46,$57.47 ,$76.64 ,$91.14 ,$127.75 ,$57.07 ,$76.24 ,$90.74 ,$127.35 
80 m / 262.46 ft,080M,$77.71,$97.07,$60.00,$76.00,$56.72,$76.08,$104.00,$112.00,$100.00,$108.00,$95.20,$103.20,$128.00,$136.00,$124.00,$132.00,$90.72,$127.68,$296.00,$304.00,$292.00,$300.00,$287.20,$295.20,$57.92 ,$77.28 ,$91.92 ,$128.88 ,$57.52 ,$76.88 ,$91.52 ,$128.48 
83.82 m / 275 ft,275FT,$79.99,$100.27,$62.29,$79.06,$59.00,$79.29,$108.20,$116.58,$104.20,$112.58,$99.40,$107.78,$133.35,$141.73,$129.35,$137.73,$94.63,$133.35,$309.37,$317.75,$305.37,$313.75,$300.57,$308.95,$60.20 ,$80.49 ,$95.83 ,$134.55 ,$59.80 ,$80.09 ,$95.43 ,$134.15 
85.34 m / 280 ft,280FT,$80.90,$101.55,$63.20,$80.27,$59.91,$80.57,$109.87,$118.41,$105.87,$114.41,$101.07,$109.61,$135.48,$144.01,$131.48,$140.01,$96.18,$135.61,$314.69,$323.22,$310.69,$319.22,$305.89,$314.42,$61.11 ,$81.77 ,$97.38 ,$136.81 ,$60.71 ,$81.37 ,$96.98 ,$136.41 
90 m / 295.27 ft,090M,$83.69,$105.47,$66.00,$84.00,$62.70,$84.48,$115.00,$124.00,$111.00,$120.00,$106.20,$115.20,$142.00,$151.00,$138.00,$147.00,$100.95,$142.53,$331.00,$340.00,$327.00,$336.00,$322.20,$331.20,$63.90 ,$85.68 ,$102.15 ,$143.73 ,$63.50 ,$85.28 ,$101.75 ,$143.33 
91.44 m /  300 ft,300FT,$84.55,$106.67,$66.86,$85.15,$63.56,$85.69,$116.58,$125.73,$112.58,$121.73,$107.78,$116.93,$144.02,$153.16,$140.02,$149.16,$102.42,$144.67,$336.04,$345.18,$332.04,$341.18,$327.24,$336.38,$64.76 ,$86.89 ,$103.62 ,$145.87 ,$64.36 ,$86.49 ,$103.22 ,$145.47 
95 m /  311.67 ft,095M,$86.68,$109.67,$69.00,$88.00,$65.69,$88.68,$120.50,$130.00,$116.50,$126.00,$111.70,$121.20,$149.00,$158.50,$145.00,$154.50,$106.07,$149.96,$348.50,$358.00,$344.50,$354.00,$339.70,$349.20,$66.89 ,$89.88 ,$107.27 ,$151.16 ,$66.49 ,$89.48 ,$106.87 ,$150.76 
99.06 m / 325 ft,325FT,$89.10,$113.08,$71.44,$91.25,$68.12,$92.09,$124.97,$134.87,$120.97,$130.87,$116.17,$126.07,$154.68,$164.59,$150.68,$160.59,$110.22,$155.98,$362.71,$372.62,$358.71,$368.62,$353.91,$363.82,$69.32 ,$93.29 ,$111.42 ,$157.18 ,$68.92 ,$92.89 ,$111.02 ,$156.78 
100 m / 328.08 ft,100M,$89.67,$113.87,$72.00,$92.00,$68.68,$92.88,$126.00,$136.00,$122.00,$132.00,$117.20,$127.20,$156.00,$166.00,$152.00,$162.00,$111.18,$157.38,$366.00,$376.00,$362.00,$372.00,$357.20,$367.20,$69.88 ,$94.08 ,$112.38 ,$158.58 ,$69.48 ,$93.68 ,$111.98 ,$158.18 
106.68 m / 350 ft,350FT,$93.66,$119.48,$76.01,$97.34,$72.67,$98.49,$133.35,$144.02,$129.35,$140.02,$124.55,$135.22,$165.35,$176.02,$161.35,$172.02,$118.01,$167.30,$389.38,$400.05,$385.38,$396.05,$380.58,$391.25,$73.87 ,$99.69 ,$119.21 ,$168.50 ,$73.47 ,$99.29 ,$118.81 ,$168.10 
114.3 m / 375 ft,375FT,$98.22,$125.88,$80.58,$103.44,$77.23,$104.89,$141.73,$153.16,$137.73,$149.16,$132.93,$144.36,$176.02,$187.45,$172.02,$183.45,$125.81,$178.62,$416.05,$427.48,$412.05,$423.48,$407.25,$418.68,$78.43 ,$106.09 ,$127.01 ,$179.82 ,$78.03 ,$105.69 ,$126.61 ,$179.42 
121.92 m / 400 ft,400FT,$102.77,$132.28,$85.15,$109.54,$81.79,$111.29,$150.11,$162.30,$146.11,$158.30,$141.31,$153.50,$186.69,$198.88,$182.69,$194.88,$133.60,$189.93,$442.72,$454.91,$438.72,$450.91,$433.92,$446.11,$82.99 ,$112.49 ,$134.80 ,$191.13 ,$82.59 ,$112.09 ,$134.40 ,$190.73 
125 m /  410.10 ft,125M,$104.62,$134.87,$87.00,$112.00,$83.63,$113.88,$153.50,$166.00,$149.50,$162.00,$144.70,$157.20,$191.00,$203.50,$187.00,$199.50,$136.76,$194.51,$453.50,$466.00,$449.50,$462.00,$444.70,$457.20,$84.83 ,$115.08 ,$137.96 ,$195.71 ,$84.43 ,$114.68 ,$137.56 ,$195.31 
129.54 m / 425 ft,425FT,$107.33,$138.68,$89.72,$115.63,$86.34,$117.69,$158.49,$171.45,$154.49,$167.45,$149.69,$162.65,$197.36,$210.31,$193.36,$206.31,$141.40,$201.25,$469.39,$482.34,$465.39,$478.34,$460.59,$473.54,$87.54 ,$118.89 ,$142.60 ,$202.45 ,$87.14 ,$118.49 ,$142.20 ,$202.05 
137.16 m / 450 ft,450FT,$111.89,$145.08,$94.30,$121.73,$90.90,$124.09,$166.88,$180.59,$162.88,$176.59,$158.08,$171.79,$208.02,$221.74,$204.02,$217.74,$149.19,$212.56,$496.06,$509.78,$492.06,$505.78,$487.26,$500.98,$92.10 ,$125.29 ,$150.39 ,$213.76 ,$91.70 ,$124.89 ,$149.99 ,$213.36 
144.78 m / 475 ft,475FT,$116.44,$151.48,$98.87,$127.82,$95.46,$130.50,$175.26,$189.74,$171.26,$185.74,$166.46,$180.94,$218.69,$233.17,$214.69,$229.17,$156.99,$223.88,$522.73,$537.21,$518.73,$533.21,$513.93,$528.41,$96.66 ,$131.70 ,$158.19 ,$225.08 ,$96.26 ,$131.30 ,$157.79 ,$224.68 
150 m / 492.12 ft,150M,$119.57,$155.87,$102.00,$132.00,$98.58,$134.88,$181.00,$196.00,$177.00,$192.00,$172.20,$187.20,$226.00,$241.00,$222.00,$237.00,$162.33,$231.63,$541.00,$556.00,$537.00,$552.00,$532.20,$547.20,$99.78 ,$136.08 ,$163.53 ,$232.83 ,$99.38 ,$135.68 ,$163.13 ,$232.43 
152.40 m / 500 ft,500FT,$121.00,$157.88,$103.44,$133.92,$100.02,$136.90,$183.64,$198.88,$179.64,$194.88,$174.84,$190.08,$229.36,$244.60,$225.36,$240.60,$164.79,$235.19,$549.40,$564.64,$545.40,$560.64,$540.60,$555.84,$101.22 ,$138.10 ,$165.99 ,$236.39 ,$100.82 ,$137.70 ,$165.59 ,$235.99 
160.02 m / 525 ft,525FT,$125.56,$164.28,$108.01,$140.02,$104.57,$143.30,,,,,,,$240.03,$256.03,$236.03,$252.03,$172.58,$246.51,$576.07,$592.07,$572.07,$588.07,$567.27,$583.27,$105.77 ,$144.50 ,$173.78 ,$247.71 ,$105.37 ,$144.10 ,$173.38 ,$247.31 
167.64 m / 550 ft,550FT,$130.11,$170.68,$112.58,$146.11,$109.13,$149.70,,,,,,,$250.70,$267.46,$246.70,$263.46,$180.38,$257.83,$602.74,$619.50,$598.74,$615.50,$593.94,$610.70,$110.33 ,$150.90 ,$181.58 ,$259.03 ,$109.93 ,$150.50 ,$181.18 ,$258.63 
175 m / 574.14 ft,175M,$134.52,$176.87,$117.00,$152.00,$113.53,$155.88,,,,,,,$261.00,$278.50,$257.00,$274.50,$187.91,$268.76,$628.50,$646.00,$624.50,$642.00,$619.70,$637.20,$114.73 ,$157.08 ,$189.11 ,$269.96 ,$114.33 ,$156.68 ,$188.71 ,$269.56 
182.88 m / 600 ft,600FT,$139.23,$183.48,$121.73,$158.30,$118.24,$162.50,,,,,,,$272.03,$290.32,$268.03,$286.32,$195.97,$280.46,$656.08,$674.37,$652.08,$670.37,$647.28,$665.57,$119.44 ,$163.70 ,$197.17 ,$281.66 ,$119.04 ,$163.30 ,$196.77 ,$281.26 
200 m / 656.16 ft,200M,$149.47,$197.87,$132.00,$172.00,$128.48,$176.88,,,,,,,$296.00,$316.00,$292.00,$312.00,$213.48,$305.88,$716.00,$736.00,$712.00,$732.00,$707.20,$727.20,$129.68 ,$178.08 ,$214.68 ,$307.08 ,$129.28 ,$177.68 ,$214.28 ,$306.68 
250 m / 820.20 ft,250M,$179.37,$239.87,$162.00,$212.00,$158.38,$218.88,,,,,,,$366.00,$391.00,$362.00,$387.00,$264.63,$380.13,$891.00,$916.00,$887.00,$912.00,$882.20,$907.20,$159.58 ,$220.08 ,$265.83 ,$381.33 ,$159.18 ,$219.68 ,$265.43 ,$380.93 
300 m / 984.25 ft,300M,$209.27,$281.87,$192.00,$252.00,$188.28,$260.88,,,,,,,$436.00,$466.00,$432.00,$462.00,$315.78,$454.38,"$1,066.00","$1,096.00","$1,062.00","$1,092.00","$1,057.20","$1,087.20",$189.48 ,$262.08 ,$316.98 ,$455.58 ,$189.08 ,$261.68 ,$316.58 ,$455.18 
304.8 m / 1000 ft,1000FT,$212.14,$285.90,$194.88,$255.84,$191.15,$264.91,,,,,,,$442.72,$473.20,$438.72,$469.20,$320.69,$461.51,"$1,082.80","$1,113.28","$1,078.80","$1,109.28","$1,074.00","$1,104.48",$192.35 ,$266.11 ,$321.89 ,$462.71 ,$191.95 ,$265.71 ,$321.49 ,$462.31 
350 m / 1148.29 ft,350M,$239.17,$323.87,$222.00,$292.00,$218.18,$302.88,,,,,,,$506.00,$541.00,$502.00,$537.00,$366.93,$528.63,"$1,241.00","$1,276.00","$1,237.00","$1,272.00","$1,232.20","$1,267.20",$219.38 ,$304.08 ,$368.13 ,$529.83 ,$218.98 ,$303.68 ,$367.73 ,$529.43 
400 m / 1312.33 ft,400M,$269.07,$365.87,$252.00,$332.00,$248.08,$344.88,,,,,,,$576.00,$616.00,$572.00,$612.00,$418.08,$602.88,"$1,416.00","$1,456.00","$1,412.00","$1,452.00","$1,407.20","$1,447.20",$249.28 ,$346.08 ,$419.28 ,$604.08 ,$248.88 ,$345.68 ,$418.88 ,$603.68 
500 m / 1640.41 ft,500M,$328.87,$449.87,$312.00,$412.00,$307.88,$428.88,,,,,,,$716.00,$766.00,$712.00,$762.00,$520.38,$751.38,"$1,766.00","$1,816.00","$1,762.00","$1,812.00","$1,757.20","$1,807.20",$309.08 ,$430.08 ,$521.58 ,$752.58 ,$308.68 ,$429.68 ,$521.18 ,$752.18 
550 m / 1804.46 ft,550M,$358.77,$491.87,$342.00,$452.00,$337.78,$470.88,,,,,,,,,,,571.53,825.63,"$1,941.00","$1,996.00","$1,937.00","$1,992.00","$1,932.20","$1,987.20",$338.98 ,$472.08 ,$572.73 ,$826.83 ,$338.58 ,$471.68 ,$572.33 ,$826.43 
1000 m / 3280.83 ft,1000M,$627.87,$869.87,$612.00,$812.00,$606.88,$848.88,,,,,,,,,,,,,"$3,516.00","$3,616.00","$3,512.00","$3,612.00","$3,507.20","$3,607.20",$608.08 ,$850.08 ,,,$607.68 ,$849.68 ,,
2000 m / 6561.66 ft,2000M,"$1,225.87","$1,709.87","$1,212.00","$1,612.00","$1,204.88","$1,688.88",,,,,,,,,,,,,,,,,,,"$1,206.08 ","$1,690.08 ",,,"$1,205.68 ","$1,689.68 ",,
