option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP,M5SXR,M5SXR-NP,M5SXP,M5SXP-NP,M5SXU,M5SXU-NP,M5DXR,M5DXR-NP,M5DXP,M5DXP-NP,M5DXU,M5DXU-NP
12.19 m / 40 ft,040FT,$7.48,$8.90,$9.66,$11.08,$14.90,$19.40,$12.11,$14.95,$16.51,$19.35,$27.22,$33.32,$9.91,$11.33,$13.31,$14.73,$14.31,$15.73,$18.21,$19.83,$22.61,$24.23,$26.61,$28.23,$9.91,$11.33,$13.31,$14.73,$14.31,$15.73,$12.10,$18.16,$22.61,$24.23,$26.61,$28.23,$9.28,$11.72,$13.12,$15.56,$16.74,$19.18,$17.27,$19.67,$24.95,$27.35,$32.19,$34.59,$25.76,$27.18,$29.16,$30.58,$30.16,$31.58,$47.47,$49.08,$51.87,$53.48,$55.87,$57.48
15 m / 49.21 ft,015M,$8.60,$10.30,$10.50,$12.20,$16.05,$21.58,$13.80,$17.20,$18.20,$21.60,$28.91,$36.41,$11.60,$13.30,$15.00,$16.70,$16.00,$17.70,$21.30,$23.20,$25.70,$27.60,$29.70,$31.60,$11.60,$13.30,$15.00,$16.70,$16.00,$17.70,$13.74,$21.19,$25.70,$27.60,$29.70,$31.60,$10.84,$13.85,$14.68,$17.69,$18.30,$21.31,$20.10,$23.05,$27.78,$30.73,$35.02,$37.97,$31.10,$32.80,$34.50,$36.20,$35.50,$37.20,$57.30,$59.20,$61.70,$63.60,$65.70,$67.60
15.24 m / 50 ft,050FT,$8.70,$10.42,$10.57,$12.30,$16.14,$21.77,$13.94,$17.39,$18.34,$21.79,$29.05,$36.67,$11.74,$13.47,$15.14,$16.87,$16.14,$17.87,$21.56,$23.49,$25.96,$27.89,$29.96,$31.89,$11.74,$13.47,$15.14,$16.87,$16.14,$17.87,$13.88,$21.45,$25.96,$27.89,$29.96,$31.89,$10.98,$14.03,$14.82,$17.87,$18.44,$21.49,$20.34,$23.34,$28.02,$31.02,$35.26,$38.26,$31.56,$33.28,$34.96,$36.68,$35.96,$37.68,$58.14,$60.06,$62.54,$64.46,$66.54,$68.46
17 m /  55.77 ft,017M,$9.40,$11.30,$11.10,$13.00,$16.86,$23.13,$15.00,$18.80,$19.40,$23.20,$30.11,$38.61,$12.80,$14.70,$16.20,$18.10,$17.20,$19.10,$23.50,$25.60,$27.90,$30.00,$31.90,$34.00,$12.80,$14.70,$16.20,$18.10,$17.20,$19.10,$14.90,$23.35,$27.90,$30.00,$31.90,$34.00,$11.96,$15.36,$15.80,$19.20,$19.42,$22.82,$22.11,$25.46,$29.79,$33.14,$37.03,$40.38,$34.90,$36.80,$38.30,$40.20,$39.30,$41.20,$64.30,$66.40,$68.70,$70.80,$72.70,$74.80
18.28 m / 60 ft,060FT,$9.91,$11.94,$11.48,$13.51,$17.38,$24.12,$15.77,$19.82,$20.17,$24.22,$30.88,$40.02,$13.57,$15.60,$16.97,$19.00,$17.97,$20.00,$24.91,$27.14,$29.31,$31.54,$33.31,$35.54,$13.57,$15.60,$16.97,$19.00,$17.97,$20.00,$15.65,$24.73,$29.31,$31.54,$33.31,$35.54,$12.67,$16.33,$16.51,$20.17,$20.13,$23.79,$23.40,$27.00,$31.08,$34.68,$38.32,$41.92,$37.33,$39.36,$40.73,$42.76,$41.73,$43.76,$68.78,$71.01,$73.18,$75.41,$77.18,$79.41
20 m /  65.61 ft,020M,$10.60,$12.80,$12.00,$14.20,$18.08,$25.46,$16.80,$21.20,$21.20,$25.60,$31.91,$41.91,$14.60,$16.80,$18.00,$20.20,$19.00,$21.20,$26.80,$29.20,$31.20,$33.60,$35.20,$37.60,$14.60,$16.80,$18.00,$20.20,$19.00,$21.20,$16.65,$26.59,$31.20,$33.60,$35.20,$37.60,$13.63,$17.63,$17.47,$21.47,$21.09,$25.09,$25.13,$29.07,$32.81,$36.75,$40.05,$43.99,$40.60,$42.80,$44.00,$46.20,$45.00,$47.20,$74.80,$77.20,$79.20,$81.60,$83.20,$85.60
21.33 m / 70 ft,070FT,$11.13,$13.47,$12.40,$14.73,$18.61,$26.49,$17.60,$22.26,$22.00,$26.66,$32.71,$43.37,$15.40,$17.73,$18.80,$21.13,$19.80,$22.13,$28.26,$30.80,$32.66,$35.20,$36.66,$39.20,$15.40,$17.73,$18.80,$21.13,$19.80,$22.13,$17.43,$28.03,$32.66,$35.20,$36.66,$39.20,$14.37,$18.64,$18.21,$22.48,$21.83,$26.10,$26.47,$30.67,$34.15,$38.35,$41.39,$45.59,$43.13,$45.46,$46.53,$48.86,$47.53,$49.86,$79.46,$81.99,$83.86,$86.39,$87.86,$90.39
22 m /  72.17 ft,022M,$11.40,$13.80,$12.60,$15.00,$18.89,$27.01,$18.00,$22.80,$22.40,$27.20,$33.11,$44.11,$15.80,$18.20,$19.20,$21.60,$20.20,$22.60,$29.00,$31.60,$33.40,$36.00,$37.40,$40.00,$15.80,$18.20,$19.20,$21.60,$20.20,$22.60,$17.82,$28.75,$33.40,$36.00,$37.40,$40.00,$14.74,$19.15,$18.58,$22.98,$22.20,$26.60,$27.15,$31.48,$34.82,$39.16,$42.06,$46.40,$44.40,$46.80,$47.80,$50.20,$48.80,$51.20,$81.80,$84.40,$86.20,$88.80,$90.20,$92.80
22.86 m / 75 ft,075FT,$11.74,$14.23,$12.86,$15.34,$19.24,$27.67,$18.52,$23.49,$22.92,$27.89,$33.63,$45.06,$16.32,$18.80,$19.72,$22.20,$20.72,$23.20,$29.95,$32.63,$34.35,$37.03,$38.35,$41.03,$16.32,$18.80,$19.72,$22.20,$20.72,$23.20,$18.32,$29.68,$34.35,$37.03,$38.35,$41.03,$15.22,$19.80,$19.06,$23.64,$22.68,$27.26,$28.01,$32.51,$35.69,$40.19,$42.93,$47.43,$46.03,$48.52,$49.43,$51.92,$50.43,$52.92,$84.81,$87.50,$89.21,$91.90,$93.21,$95.90
24.38 m / 80 ft,080FT,$12.35,$14.99,$13.31,$15.95,$19.85,$28.85,$19.43,$24.70,$23.83,$29.10,$34.54,$46.73,$17.23,$19.87,$20.63,$23.27,$21.63,$24.27,$31.62,$34.46,$36.02,$38.86,$40.02,$42.86,$17.23,$19.87,$20.63,$23.27,$21.63,$24.27,$19.20,$31.32,$36.02,$38.86,$40.02,$42.86,$16.06,$20.95,$19.90,$24.79,$23.52,$28.41,$29.54,$34.34,$37.22,$42.02,$44.46,$49.26,$48.92,$51.56,$52.32,$54.96,$53.32,$55.96,$90.13,$92.97,$94.53,$97.37,$98.53,$101.37
25 m /  82.02 ft,025M,$12.60,$15.30,$13.50,$16.20,$20.11,$29.33,$19.80,$25.20,$24.20,$29.60,$34.91,$47.41,$17.60,$20.30,$21.00,$23.70,$22.00,$24.70,$32.30,$35.20,$36.70,$39.60,$40.70,$43.60,$17.60,$20.30,$21.00,$23.70,$22.00,$24.70,$19.57,$31.99,$36.70,$39.60,$40.70,$43.60,$16.41,$21.42,$20.25,$25.26,$23.87,$28.88,$30.17,$35.09,$37.85,$42.77,$45.09,$50.01,$50.10,$52.80,$53.50,$56.20,$54.50,$57.20,$92.30,$95.20,$96.70,$99.60,$100.70,$103.60
27.43 m / 90 ft,090FT,$13.57,$16.52,$14.23,$17.17,$21.09,$31.21,$21.26,$27.14,$25.66,$31.54,$36.37,$50.08,$19.06,$22.00,$22.46,$25.40,$23.46,$26.40,$34.97,$38.12,$39.37,$42.52,$43.37,$46.52,$19.06,$22.00,$22.46,$25.40,$23.46,$26.40,$20.98,$34.62,$39.37,$42.52,$43.37,$46.52,$17.76,$23.25,$21.60,$27.09,$25.22,$30.71,$32.61,$38.02,$40.29,$45.70,$47.53,$52.94,$54.72,$57.66,$58.12,$61.06,$59.12,$62.06,$100.81,$103.95,$105.21,$108.35,$109.21,$112.35
30 m /  98.42 ft,030M,$14.60,$17.80,$15.00,$18.20,$22.14,$33.21,$22.80,$29.20,$27.20,$33.60,$37.91,$52.91,$20.60,$23.80,$24.00,$27.20,$25.00,$28.20,$37.80,$41.20,$42.20,$45.60,$46.20,$49.60,$20.60,$23.80,$24.00,$27.20,$25.00,$28.20,$22.48,$37.39,$42.20,$45.60,$46.20,$49.60,$19.19,$25.20,$23.03,$29.04,$26.65,$32.66,$35.20,$41.11,$42.88,$48.79,$50.12,$56.03,$59.60,$62.80,$63.00,$66.20,$64.00,$67.20,$109.80,$113.20,$114.20,$117.60,$118.20,$121.60
30.48 m /  100 ft,100FT,$14.79,$18.04,$15.14,$18.39,$22.33,$33.58,$23.09,$29.58,$27.49,$33.98,$38.20,$53.44,$20.89,$24.14,$24.29,$27.54,$25.29,$28.54,$38.33,$41.78,$42.73,$46.18,$46.73,$50.18,$20.89,$24.14,$24.29,$27.54,$25.29,$28.54,$22.76,$37.91,$42.73,$46.18,$46.73,$50.18,$19.46,$25.56,$23.30,$29.40,$26.92,$33.02,$35.68,$41.69,$43.36,$49.37,$50.60,$56.61,$60.51,$63.76,$63.91,$67.16,$64.91,$68.16,$111.48,$114.93,$115.88,$119.33,$119.88,$123.33
33.52 m / 110 ft,110FT,$16.01,$19.56,$16.06,$19.61,$23.56,$35.93,$24.91,$32.02,$29.31,$36.42,$40.02,$56.78,$22.71,$26.26,$26.11,$29.66,$27.11,$30.66,$41.67,$45.42,$46.07,$49.82,$50.07,$53.82,$22.71,$26.26,$26.11,$29.66,$27.11,$30.66,$24.53,$41.19,$46.07,$49.82,$50.07,$53.82,$21.15,$27.86,$24.99,$31.70,$28.61,$35.32,$38.75,$45.35,$46.42,$53.03,$53.66,$60.27,$66.29,$69.84,$69.69,$73.24,$70.69,$74.24,$122.12,$125.87,$126.52,$130.27,$130.52,$134.27
35 m / 114.82 ft,035M,$16.60,$20.30,$16.50,$20.20,$24.17,$37.08,$25.80,$33.20,$30.20,$37.60,$40.91,$58.41,$23.60,$27.30,$27.00,$30.70,$28.00,$31.70,$43.30,$47.20,$47.70,$51.60,$51.70,$55.60,$23.60,$27.30,$27.00,$30.70,$28.00,$31.70,$25.40,$42.79,$47.70,$51.60,$51.70,$55.60,$21.97,$28.98,$25.81,$32.82,$29.43,$36.44,$40.24,$47.13,$47.92,$54.81,$55.16,$62.05,$69.10,$72.80,$72.50,$76.20,$73.50,$77.20,$127.30,$131.20,$131.70,$135.60,$135.70,$139.60
36.57 m / 120 ft,120FT,$17.23,$21.09,$16.97,$20.83,$24.80,$38.30,$26.74,$34.46,$31.14,$38.86,$41.85,$60.14,$24.54,$28.40,$27.94,$31.80,$28.94,$32.80,$45.03,$49.08,$49.43,$53.48,$53.43,$57.48,$24.54,$28.40,$27.94,$31.80,$28.94,$32.80,$26.31,$44.49,$49.43,$53.48,$53.43,$57.48,$22.85,$30.17,$26.69,$34.01,$30.31,$37.63,$41.82,$49.02,$49.50,$56.70,$56.74,$63.94,$72.08,$75.94,$75.48,$79.34,$76.48,$80.34,$132.80,$136.85,$137.20,$141.25,$141.20,$145.25
38.1 m / 125 ft,125FT,$17.84,$21.85,$17.43,$21.44,$25.42,$39.48,$27.66,$35.68,$32.06,$40.08,$42.77,$61.82,$25.46,$29.47,$28.86,$32.87,$29.86,$33.87,$46.71,$50.92,$51.11,$55.32,$55.11,$59.32,$25.46,$29.47,$28.86,$32.87,$29.86,$33.87,$27.20,$46.14,$51.11,$55.32,$55.11,$59.32,$23.70,$31.33,$27.54,$35.17,$31.16,$38.79,$43.36,$50.86,$51.04,$58.54,$58.28,$65.78,$74.99,$79.00,$78.39,$82.40,$79.39,$83.40,$138.15,$142.36,$142.55,$146.76,$146.55,$150.76
39.62 m / 130 ft,130FT,$18.45,$22.61,$17.89,$22.05,$26.04,$40.66,$28.57,$36.90,$32.97,$41.30,$43.68,$63.49,$26.37,$30.53,$29.77,$33.93,$30.77,$34.93,$48.38,$52.74,$52.78,$57.14,$56.78,$61.14,$26.37,$30.53,$29.77,$33.93,$30.77,$34.93,$28.09,$47.78,$52.78,$57.14,$56.78,$61.14,$24.54,$32.48,$28.38,$36.32,$32.00,$39.94,$44.89,$52.69,$52.57,$60.37,$59.81,$67.61,$77.88,$82.04,$81.28,$85.44,$82.28,$86.44,$143.47,$147.83,$147.87,$152.23,$151.87,$156.23
40 m / 131.23 ft,040M,$18.60,$22.80,$18.00,$22.20,$26.20,$40.96,$28.80,$37.20,$33.20,$41.60,$43.91,$63.91,$26.60,$30.80,$30.00,$34.20,$31.00,$35.20,$48.80,$53.20,$53.20,$57.60,$57.20,$61.60,$26.60,$30.80,$30.00,$34.20,$31.00,$35.20,$28.31,$48.19,$53.20,$57.60,$57.20,$61.60,$24.76,$32.77,$28.60,$36.61,$32.22,$40.23,$45.27,$53.15,$52.95,$60.83,$60.19,$68.07,$78.60,$82.80,$82.00,$86.20,$83.00,$87.20,$144.80,$149.20,$149.20,$153.60,$153.20,$157.60
42.67 m / 140 ft,140FT,$19.67,$24.14,$18.80,$23.27,$27.28,$43.02,$30.40,$39.34,$34.80,$43.74,$45.51,$66.85,$28.20,$32.67,$31.60,$36.07,$32.60,$37.07,$51.74,$56.40,$56.14,$60.80,$60.14,$64.80,$28.20,$32.67,$31.60,$36.07,$32.60,$37.07,$29.87,$51.07,$56.14,$60.80,$60.14,$64.80,$26.24,$34.79,$30.08,$38.63,$33.70,$42.25,$47.96,$56.37,$55.64,$64.04,$62.88,$71.28,$83.67,$88.14,$87.07,$91.54,$88.07,$92.54,$154.15,$158.81,$158.55,$163.21,$162.55,$167.21
45.72 m / 150 ft,150FT,$20.89,$25.66,$19.72,$24.49,$28.52,$45.39,$32.23,$41.78,$36.63,$46.18,$47.34,$70.20,$30.03,$34.80,$33.43,$38.20,$34.43,$39.20,$55.09,$60.06,$59.49,$64.46,$63.49,$68.46,$30.03,$34.80,$33.43,$38.20,$34.43,$39.20,$31.65,$54.37,$59.49,$64.46,$63.49,$68.46,$27.94,$37.10,$31.78,$40.94,$35.40,$44.56,$51.03,$60.04,$58.71,$67.72,$65.95,$74.96,$89.47,$94.24,$92.87,$97.64,$93.87,$98.64,$164.82,$169.79,$169.22,$174.19,$173.22,$178.19
48.76 m / 160 ft,160FT,$22.10,$27.18,$20.63,$25.70,$29.75,$47.74,$34.06,$44.21,$38.46,$48.61,$49.17,$73.55,$31.86,$36.93,$35.26,$40.33,$36.26,$41.33,$58.44,$63.71,$62.84,$68.11,$66.84,$72.11,$31.86,$36.93,$35.26,$40.33,$36.26,$41.33,$33.42,$57.65,$62.84,$68.11,$66.84,$72.11,$29.63,$39.40,$33.47,$43.24,$37.09,$46.86,$54.09,$63.70,$61.77,$71.38,$69.01,$78.62,$95.24,$100.32,$98.64,$103.72,$99.64,$104.72,$175.46,$180.74,$179.86,$185.14,$183.86,$189.14
50 m / 164.04 ft,050M,$22.60,$27.80,$21.00,$26.20,$30.26,$48.71,$34.80,$45.20,$39.20,$49.60,$49.91,$74.91,$32.60,$37.80,$36.00,$41.20,$37.00,$42.20,$59.80,$65.20,$64.20,$69.60,$68.20,$73.60,$32.60,$37.80,$36.00,$41.20,$37.00,$42.20,$34.14,$58.99,$64.20,$69.60,$68.20,$73.60,$30.32,$40.34,$34.16,$44.18,$37.78,$47.80,$55.34,$65.19,$63.02,$72.87,$70.26,$80.11,$97.60,$102.80,$101.00,$106.20,$102.00,$107.20,$179.80,$185.20,$184.20,$189.60,$188.20,$193.60
53.34 m / 175 ft,175FT,$23.94,$29.47,$22.00,$27.54,$31.61,$51.29,$36.80,$47.87,$41.20,$52.27,$51.91,$78.58,$34.60,$40.14,$38.00,$43.54,$39.00,$44.54,$63.47,$69.21,$67.87,$73.61,$71.87,$77.61,$34.60,$40.14,$38.00,$43.54,$39.00,$44.54,$36.09,$62.60,$67.87,$73.61,$71.87,$77.61,$32.18,$42.86,$36.02,$46.70,$39.64,$50.32,$58.70,$69.21,$66.38,$76.89,$73.62,$84.13,$103.95,$109.48,$107.35,$112.88,$108.35,$113.88,$191.49,$197.22,$195.89,$201.62,$199.89,$205.62
54.86 m / 180 ft,180FT,$24.54,$30.23,$22.46,$28.14,$32.23,$52.47,$37.72,$49.09,$42.12,$53.49,$52.83,$80.26,$35.52,$41.20,$38.92,$44.60,$39.92,$45.60,$65.15,$71.03,$69.55,$75.43,$73.55,$79.43,$35.52,$41.20,$38.92,$44.60,$39.92,$45.60,$36.97,$64.24,$69.55,$75.43,$73.55,$79.43,$33.03,$44.01,$36.86,$47.85,$40.48,$51.47,$60.24,$71.04,$67.91,$78.72,$75.15,$85.96,$106.83,$112.52,$110.23,$115.92,$111.23,$116.92,$196.81,$202.70,$201.21,$207.10,$205.21,$211.10
55 m / 180.44 ft,055M,$24.60,$30.30,$22.50,$28.20,$32.29,$52.58,$37.80,$49.20,$42.20,$53.60,$52.91,$80.41,$35.60,$41.30,$39.00,$44.70,$40.00,$45.70,$65.30,$71.20,$69.70,$75.60,$73.70,$79.60,$35.60,$41.30,$39.00,$44.70,$40.00,$45.70,$37.06,$64.39,$69.70,$75.60,$73.70,$79.60,$33.10,$44.12,$36.94,$47.96,$40.56,$51.58,$60.38,$71.21,$68.06,$78.89,$75.30,$86.13,$107.10,$112.80,$110.50,$116.20,$111.50,$117.20,$197.30,$203.20,$201.70,$207.60,$205.70,$211.60
60.96 m / 200 ft,200FT,$26.98,$33.28,$24.29,$30.58,$34.70,$57.20,$41.38,$53.97,$45.78,$58.37,$56.49,$86.97,$39.18,$45.47,$42.58,$48.87,$43.58,$49.87,$71.86,$78.35,$76.26,$82.75,$80.26,$86.75,$39.18,$45.47,$42.58,$48.87,$43.58,$49.87,$40.53,$70.83,$76.26,$82.75,$80.26,$86.75,$36.42,$48.63,$40.26,$52.47,$43.88,$56.09,$66.38,$78.39,$74.06,$86.07,$81.30,$93.31,$118.42,$124.72,$121.82,$128.12,$122.82,$129.12,$218.16,$224.66,$222.56,$229.06,$226.56,$233.06
65 m / 213.25 ft,065M,$28.60,$35.30,$25.50,$32.20,$36.35,$60.33,$43.80,$57.20,$48.20,$61.60,$58.91,$91.41,$41.60,$48.30,$45.00,$51.70,$46.00,$52.70,$76.30,$83.20,$80.70,$87.60,$84.70,$91.60,$41.60,$48.30,$45.00,$51.70,$46.00,$52.70,$42.89,$75.19,$80.70,$87.60,$84.70,$91.60,$38.67,$51.69,$42.51,$55.53,$46.13,$59.15,$70.45,$83.25,$78.13,$90.93,$85.37,$98.17,$126.10,$132.80,$129.50,$136.20,$130.50,$137.20,$232.30,$239.20,$236.70,$243.60,$240.70,$247.60
67.05 m / 220 ft,220FT,$29.42,$36.33,$26.12,$33.02,$37.18,$61.92,$45.03,$58.84,$49.43,$63.24,$60.14,$93.67,$42.83,$49.74,$46.23,$53.14,$47.23,$54.14,$78.56,$85.66,$82.96,$90.06,$86.96,$94.06,$42.83,$49.74,$46.23,$53.14,$47.23,$54.14,$44.08,$77.41,$82.96,$90.06,$86.96,$94.06,$39.81,$53.24,$43.65,$57.08,$47.27,$60.70,$72.51,$85.72,$80.19,$93.40,$87.43,$100.64,$130.00,$136.90,$133.40,$140.30,$134.40,$141.30,$239.48,$246.58,$243.88,$250.98,$247.88,$254.98
68.58 m / 225 ft,225FT,$30.03,$37.09,$26.57,$33.63,$37.80,$63.10,$45.95,$60.06,$50.35,$64.46,$61.06,$95.35,$43.75,$50.81,$47.15,$54.21,$48.15,$55.21,$80.24,$87.50,$84.64,$91.90,$88.64,$95.90,$43.75,$50.81,$47.15,$54.21,$48.15,$55.21,$44.97,$79.06,$84.64,$91.90,$88.64,$95.90,$40.66,$54.40,$44.50,$58.24,$48.12,$61.86,$74.05,$87.56,$81.73,$95.24,$88.97,$102.48,$132.90,$139.96,$136.30,$143.36,$137.30,$144.36,$244.83,$252.09,$249.23,$256.49,$253.23,$260.49
70 m / 229.65 ft,070M,$30.60,$37.80,$27.00,$34.20,$38.38,$64.21,$46.80,$61.20,$51.20,$65.60,$61.91,$96.91,$44.60,$51.80,$48.00,$55.20,$49.00,$56.20,$81.80,$89.20,$86.20,$93.60,$90.20,$97.60,$44.60,$51.80,$48.00,$55.20,$49.00,$56.20,$45.80,$80.59,$86.20,$93.60,$90.20,$97.60,$41.45,$55.47,$45.29,$59.31,$48.91,$62.93,$75.48,$89.27,$83.16,$96.95,$90.40,$104.19,$135.60,$142.80,$139.00,$146.20,$140.00,$147.20,$249.80,$257.20,$254.20,$261.60,$258.20,$265.60
73.15 m / 240 ft,240FT,$31.86,$39.38,$27.95,$35.46,$39.65,$66.65,$48.69,$63.72,$53.09,$68.12,$63.80,$100.38,$46.49,$54.01,$49.89,$57.41,$50.89,$58.41,$85.27,$92.98,$89.67,$97.38,$93.67,$101.38,$46.49,$54.01,$49.89,$57.41,$50.89,$58.41,$47.64,$83.99,$89.67,$97.38,$93.67,$101.38,$43.20,$57.86,$47.04,$61.69,$50.66,$65.31,$78.65,$93.06,$86.33,$100.74,$93.57,$107.98,$141.59,$149.10,$144.99,$152.50,$145.99,$153.50,$260.83,$268.54,$265.23,$272.94,$269.23,$276.94
76.20 m /  250 ft,250FT,$33.08,$40.90,$28.86,$36.68,$40.89,$69.01,$50.52,$66.16,$54.92,$70.56,$65.63,$103.73,$48.32,$56.14,$51.72,$59.54,$52.72,$60.54,$88.62,$96.64,$93.02,$101.04,$97.02,$105.04,$48.32,$56.14,$51.72,$59.54,$52.72,$60.54,$49.42,$87.29,$93.02,$101.04,$97.02,$105.04,$44.90,$60.16,$48.74,$64.00,$52.36,$67.62,$81.72,$96.74,$89.40,$104.41,$96.64,$111.65,$147.38,$155.20,$150.78,$158.60,$151.78,$159.60,$271.50,$279.52,$275.90,$283.92,$279.90,$287.92
79.24 m / 260 ft,260FT,$34.30,$42.42,$29.77,$37.90,$42.13,$71.37,$52.34,$68.59,$56.74,$72.99,$67.45,$107.07,$50.14,$58.27,$53.54,$61.67,$54.54,$62.67,$91.96,$100.29,$96.36,$104.69,$100.36,$108.69,$50.14,$58.27,$53.54,$61.67,$54.54,$62.67,$51.19,$90.57,$96.36,$104.69,$100.36,$108.69,$46.59,$62.46,$50.43,$66.30,$54.05,$69.92,$84.79,$100.40,$92.46,$108.07,$99.70,$115.31,$153.16,$161.28,$156.56,$164.68,$157.56,$165.68,$282.14,$290.46,$286.54,$294.86,$290.54,$298.86
80 m / 262.46 ft,080M,$34.60,$42.80,$30.00,$38.20,$42.44,$71.96,$52.80,$69.20,$57.20,$73.60,$67.91,$107.91,$50.60,$58.80,$54.00,$62.20,$55.00,$63.20,$92.80,$101.20,$97.20,$105.60,$101.20,$109.60,$50.60,$58.80,$54.00,$62.20,$55.00,$63.20,$51.63,$91.39,$97.20,$105.60,$101.20,$109.60,$47.02,$63.04,$50.86,$66.88,$54.48,$70.50,$85.55,$101.31,$93.23,$108.99,$100.47,$116.23,$154.60,$162.80,$158.00,$166.20,$159.00,$167.20,$284.80,$293.20,$289.20,$297.60,$293.20,$301.60
83.82 m / 275 ft,275FT,$36.13,$44.71,$31.15,$39.73,$43.99,$74.92,$55.09,$72.26,$59.49,$76.66,$70.20,$112.11,$52.89,$61.47,$56.29,$64.87,$57.29,$65.87,$97.00,$105.78,$101.40,$110.18,$105.40,$114.18,$52.89,$61.47,$56.29,$64.87,$57.29,$65.87,$53.86,$95.52,$101.40,$110.18,$105.40,$114.18,$49.14,$65.93,$52.98,$69.77,$56.60,$73.39,$89.40,$105.91,$97.08,$113.59,$104.32,$120.83,$161.86,$170.44,$165.26,$173.84,$166.26,$174.84,$298.17,$306.95,$302.57,$311.35,$306.57,$315.35
85.34 m / 280 ft,280FT,$36.74,$45.47,$31.60,$40.34,$44.60,$76.09,$56.00,$73.47,$60.40,$77.87,$71.11,$113.78,$53.80,$62.54,$57.20,$65.94,$58.20,$66.94,$98.67,$107.61,$103.07,$112.01,$107.07,$116.01,$53.80,$62.54,$57.20,$65.94,$58.20,$66.94,$54.74,$97.16,$103.07,$112.01,$107.07,$116.01,$49.99,$67.08,$53.83,$70.92,$57.45,$74.54,$90.93,$107.74,$98.61,$115.42,$105.85,$122.66,$164.75,$173.48,$168.15,$176.88,$169.15,$177.88,$303.49,$312.42,$307.89,$316.82,$311.89,$320.82
90 m / 295.27 ft,090M,$38.60,$47.80,$33.00,$42.20,$46.50,$79.71,$58.80,$77.20,$63.20,$81.60,$73.91,$118.91,$56.60,$65.80,$60.00,$69.20,$61.00,$70.20,$103.80,$113.20,$108.20,$117.60,$112.20,$121.60,$56.60,$65.80,$60.00,$69.20,$61.00,$70.20,$57.46,$102.19,$108.20,$117.60,$112.20,$121.60,$52.58,$70.61,$56.42,$74.45,$60.04,$78.07,$95.62,$113.35,$103.30,$121.03,$110.54,$128.27,$173.60,$182.80,$177.00,$186.20,$178.00,$187.20,$319.80,$329.20,$324.20,$333.60,$328.20,$337.60
91.44 m /  300 ft,300FT,$39.18,$48.52,$33.43,$42.78,$47.08,$80.82,$59.66,$78.35,$64.06,$82.75,$74.77,$120.49,$57.46,$66.81,$60.86,$70.21,$61.86,$71.21,$105.38,$114.93,$109.78,$119.33,$113.78,$123.33,$57.46,$66.81,$60.86,$70.21,$61.86,$71.21,$58.30,$103.75,$109.78,$119.33,$113.78,$123.33,$53.38,$71.70,$57.22,$75.54,$60.84,$79.16,$97.07,$115.08,$104.75,$122.76,$111.99,$130.00,$176.34,$185.68,$179.74,$189.08,$180.74,$190.08,$324.84,$334.38,$329.24,$338.78,$333.24,$342.78
95 m /  311.67 ft,095M,$40.60,$50.30,$34.50,$44.20,$48.53,$83.58,$61.80,$81.20,$66.20,$85.60,$76.91,$124.41,$59.60,$69.30,$63.00,$72.70,$64.00,$73.70,$109.30,$119.20,$113.70,$123.60,$117.70,$127.60,$59.60,$69.30,$63.00,$72.70,$64.00,$73.70,$60.38,$107.59,$113.70,$123.60,$117.70,$127.60,$55.36,$74.39,$59.20,$78.23,$62.82,$81.85,$100.66,$119.37,$108.34,$127.05,$115.58,$134.29,$183.10,$192.80,$186.50,$196.20,$187.50,$197.20,$337.30,$347.20,$341.70,$351.60,$345.70,$355.60
99.06 m / 325 ft,325FT,$42.22,$52.33,$35.72,$45.82,$50.17,$86.73,$64.24,$84.45,$68.64,$88.85,$79.35,$128.88,$62.04,$72.14,$65.44,$75.54,$66.44,$76.54,$113.77,$124.07,$118.17,$128.47,$122.17,$132.47,$62.04,$72.14,$65.44,$75.54,$66.44,$76.54,$62.74,$111.98,$118.17,$128.47,$122.17,$132.47,$57.62,$77.46,$61.46,$81.30,$65.08,$84.92,$104.74,$124.26,$112.42,$131.94,$119.66,$139.18,$190.81,$200.92,$194.21,$204.32,$195.21,$205.32,$351.51,$361.82,$355.91,$366.22,$359.91,$370.22
