option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP,M5SXR,M5SXR-NP,M5SXP,M5SXP-NP,M5SXU,M5SXU-NP,M5DXR,M5DXR-NP,M5DXP,M5DXP-NP,M5DXU,M5DXU-NP
2 m / 6.56 ft,002M,$3.40,$3.80,$6.60,$7.00,$10.77,$11.51,$6.00,$6.80,$10.40,$11.20,$21.11,$22.11,$3.80,$4.20,$7.20,$7.60,$8.20,$8.60,$7.00,$7.60,$11.40,$12.00,$15.40,$16.00,$3.80,$4.20,$7.20,$7.60,$8.20,$8.60,$6.16,$7.15,$11.40,$12.00,$15.40,$16.00,$3.61,$4.01,$7.45,$7.85,$11.07,$11.47,$7.01,$7.40,$14.68,$15.08,$21.92,$22.32,$6.40,$6.80,$9.80,$10.20,$10.80,$11.20,$11.80,$12.40,$16.20,$16.80,$20.20,$20.80
2.12 m / 7 ft,007FT,$3.45,$3.86,$6.64,$7.05,$10.82,$11.60,$6.07,$6.90,$10.47,$11.30,$21.18,$22.24,$3.87,$4.28,$7.27,$7.68,$8.27,$8.68,$7.13,$7.74,$11.53,$12.14,$15.53,$16.14,$3.87,$4.28,$7.27,$7.68,$8.27,$8.68,$6.23,$7.28,$11.53,$12.14,$15.53,$16.14,$3.68,$4.10,$7.51,$7.94,$11.13,$11.56,$7.13,$7.54,$14.80,$15.22,$22.04,$22.46,$6.63,$7.04,$10.03,$10.44,$11.03,$11.44,$12.22,$12.83,$16.62,$17.23,$20.62,$21.23
2.43 m / 8 ft,008FT,$3.57,$4.02,$6.73,$7.17,$10.94,$11.84,$6.26,$7.14,$10.66,$11.54,$21.37,$22.58,$4.06,$4.50,$7.46,$7.90,$8.46,$8.90,$7.47,$8.12,$11.87,$12.52,$15.87,$16.52,$4.06,$4.50,$7.46,$7.90,$8.46,$8.90,$6.41,$7.62,$11.87,$12.52,$15.87,$16.52,$3.85,$4.33,$7.69,$8.17,$11.31,$11.79,$7.44,$7.92,$15.12,$15.60,$22.36,$22.84,$7.22,$7.66,$10.62,$11.06,$11.62,$12.06,$13.31,$13.95,$17.71,$18.35,$21.71,$22.35
2.5 m /  8.20 ft,250CM,$3.60,$4.05,$6.75,$7.20,$10.97,$11.89,$6.30,$7.20,$10.70,$11.60,$21.41,$22.66,$4.10,$4.55,$7.50,$7.95,$8.50,$8.95,$7.55,$8.20,$11.95,$12.60,$15.95,$16.60,$4.10,$4.55,$7.50,$7.95,$8.50,$8.95,$6.45,$7.69,$11.95,$12.60,$15.95,$16.60,$3.89,$4.39,$7.73,$8.23,$11.35,$11.85,$7.51,$8.00,$15.19,$15.68,$22.43,$22.92,$7.35,$7.80,$10.75,$11.20,$11.75,$12.20,$13.55,$14.20,$17.95,$18.60,$21.95,$22.60
2.74 m / 9 ft,009FT,$3.70,$4.17,$6.82,$7.30,$11.07,$12.08,$6.44,$7.39,$10.84,$11.79,$21.55,$22.92,$4.24,$4.72,$7.64,$8.12,$8.64,$9.12,$7.81,$8.49,$12.21,$12.89,$16.21,$16.89,$4.24,$4.72,$7.64,$8.12,$8.64,$9.12,$6.59,$7.95,$12.21,$12.89,$16.21,$16.89,$4.02,$4.57,$7.86,$8.41,$11.48,$12.03,$7.75,$8.29,$15.43,$15.97,$22.67,$23.21,$7.81,$8.28,$11.21,$11.68,$12.21,$12.68,$14.39,$15.06,$18.79,$19.46,$22.79,$23.46
3 m / 9.84 ft,003M,$3.80,$4.30,$6.90,$7.40,$11.17,$12.28,$6.60,$7.60,$11.00,$12.00,$21.71,$23.21,$4.40,$4.90,$7.80,$8.30,$8.80,$9.30,$8.10,$8.80,$12.50,$13.20,$16.50,$17.20,$4.40,$4.90,$7.80,$8.30,$8.80,$9.30,$6.74,$8.23,$12.50,$13.20,$16.50,$17.20,$4.17,$4.77,$8.00,$8.61,$11.62,$12.23,$8.01,$8.60,$15.69,$16.28,$22.93,$23.52,$8.30,$8.80,$11.70,$12.20,$12.70,$13.20,$15.30,$16.00,$19.70,$20.40,$23.70,$24.40
3.05 m / 10 ft,010FT,$3.82,$4.33,$6.92,$7.42,$11.19,$12.32,$6.63,$7.64,$11.03,$12.04,$21.74,$23.27,$4.43,$4.94,$7.83,$8.34,$8.83,$9.34,$8.16,$8.86,$12.56,$13.26,$16.56,$17.26,$4.43,$4.94,$7.83,$8.34,$8.83,$9.34,$6.77,$8.29,$12.56,$13.26,$16.56,$17.26,$4.19,$4.80,$8.03,$8.64,$11.65,$12.26,$8.06,$8.66,$15.74,$16.34,$22.98,$23.58,$8.40,$8.90,$11.80,$12.30,$12.80,$13.30,$15.48,$16.18,$19.88,$20.58,$23.88,$24.58
3.5 m / 11.48 ft,350CM,$4.00,$4.55,$7.05,$7.60,$11.38,$12.67,$6.90,$8.00,$11.30,$12.40,$22.01,$23.76,$4.70,$5.25,$8.10,$8.65,$9.10,$9.65,$8.65,$9.40,$13.05,$13.80,$17.05,$17.80,$4.70,$5.25,$8.10,$8.65,$9.10,$9.65,$7.03,$8.77,$13.05,$13.80,$17.05,$17.80,$4.44,$5.14,$8.28,$8.98,$11.90,$12.60,$8.52,$9.21,$16.19,$16.88,$23.43,$24.12,$9.25,$9.80,$12.65,$13.20,$13.65,$14.20,$17.05,$17.80,$21.45,$22.20,$25.45,$26.20
3.65 m / 12 ft,012FT,$4.06,$4.63,$7.10,$7.66,$11.44,$12.78,$6.99,$8.12,$11.39,$12.52,$22.10,$23.93,$4.79,$5.36,$8.19,$8.76,$9.19,$9.76,$8.82,$9.58,$13.22,$13.98,$17.22,$17.98,$4.79,$5.36,$8.19,$8.76,$9.19,$9.76,$7.12,$8.93,$13.22,$13.98,$17.22,$17.98,$4.53,$5.26,$8.37,$9.10,$11.99,$12.72,$8.67,$9.39,$16.35,$17.06,$23.59,$24.30,$9.54,$10.10,$12.94,$13.50,$13.94,$14.50,$17.58,$18.34,$21.98,$22.74,$25.98,$26.74
4 m / 13.12 ft,004M,$4.20,$4.80,$7.20,$7.80,$11.58,$13.06,$7.20,$8.40,$11.60,$12.80,$22.31,$24.31,$5.00,$5.60,$8.40,$9.00,$9.40,$10.00,$9.20,$10.00,$13.60,$14.40,$17.60,$18.40,$5.00,$5.60,$8.40,$9.00,$9.40,$10.00,$7.32,$9.31,$13.60,$14.40,$17.60,$18.40,$4.72,$5.52,$8.56,$9.36,$12.18,$12.98,$9.02,$9.81,$16.70,$17.49,$23.94,$24.73,$10.20,$10.80,$13.60,$14.20,$14.60,$15.20,$18.80,$19.60,$23.20,$24.00,$27.20,$28.00
4.26 m / 14 ft,014FT,$4.30,$4.93,$7.28,$7.90,$11.68,$13.26,$7.36,$8.61,$11.76,$13.01,$22.47,$24.60,$5.16,$5.78,$8.56,$9.18,$9.56,$10.18,$9.49,$10.31,$13.89,$14.71,$17.89,$18.71,$5.16,$5.78,$8.56,$9.18,$9.56,$10.18,$7.47,$9.59,$13.89,$14.71,$17.89,$18.71,$4.87,$5.72,$8.71,$9.56,$12.33,$13.18,$9.28,$10.12,$16.96,$17.80,$24.20,$25.04,$10.69,$11.32,$14.09,$14.72,$15.09,$15.72,$19.71,$20.54,$24.11,$24.94,$28.11,$28.94
4.57 m / 15 ft,015FT,$4.43,$5.09,$7.37,$8.03,$11.81,$13.50,$7.54,$8.86,$11.94,$13.26,$22.65,$24.94,$5.34,$6.00,$8.74,$9.40,$9.74,$10.40,$9.83,$10.68,$14.23,$15.08,$18.23,$19.08,$5.34,$6.00,$8.74,$9.40,$9.74,$10.40,$7.66,$9.93,$14.23,$15.08,$18.23,$19.08,$5.04,$5.95,$8.88,$9.79,$12.50,$13.41,$9.59,$10.49,$17.27,$18.17,$24.51,$25.41,$11.28,$11.94,$14.68,$15.34,$15.68,$16.34,$20.80,$21.65,$25.20,$26.05,$29.20,$30.05
4.87 m / 16 ft,016FT,$4.55,$5.24,$7.46,$8.15,$11.93,$13.73,$7.72,$9.10,$12.12,$13.50,$22.83,$25.27,$5.52,$6.21,$8.92,$9.61,$9.92,$10.61,$10.16,$11.04,$14.56,$15.44,$18.56,$19.44,$5.52,$6.21,$8.92,$9.61,$9.92,$10.61,$7.83,$10.25,$14.56,$15.44,$18.56,$19.44,$5.21,$6.18,$9.05,$10.02,$12.67,$13.64,$9.90,$10.85,$17.57,$18.53,$24.81,$25.77,$11.85,$12.54,$15.25,$15.94,$16.25,$16.94,$21.85,$22.73,$26.25,$27.13,$30.25,$31.13
5 m / 16.40 ft,005M,$4.60,$5.30,$7.50,$8.20,$11.99,$13.83,$7.80,$9.20,$12.20,$13.60,$22.91,$25.41,$5.60,$6.30,$9.00,$9.70,$10.00,$10.70,$10.30,$11.20,$14.70,$15.60,$18.70,$19.60,$5.60,$6.30,$9.00,$9.70,$10.00,$10.70,$7.91,$10.39,$14.70,$15.60,$18.70,$19.60,$5.28,$6.28,$9.12,$10.12,$12.74,$13.74,$10.03,$11.01,$17.71,$18.69,$24.95,$25.93,$12.10,$12.80,$15.50,$16.20,$16.50,$17.20,$22.30,$23.20,$26.70,$27.60,$30.70,$31.60
